Address,Parcel ID,Contractor Name,Price,Demolition Date,Commercial Building,Council_District,Latitude,Longitude
3845 Seneca,17006969,MCM,"$18,953.00 ",9/16/14,No,5,42.370642,-83.002825
1246 Glynn Ct,6002694,Blue Star,"$14,500.00 ",9/13/14,No,5,42.38457,-83.097396
14270 Wilshire,21008341,Brown Environmental Construction,"$11,145.00 ",12/10/14,No,4,42.412351,-82.971151
8328 Dexter,12010401,Able Demolition,"$12,816.90 ",10/23/14,No,5,42.363792,-83.11286
8334 Dexter,12010402,Able Demolition,"$12,322.00 ",10/23/14,No,5,42.36388,-83.11292
5111 Beaconsfield,21066249,Homrich,"$16,400.00 ",11/6/14,No,4,42.400196,-82.951106
852 Manistique,21060992,Homrich,"$13,100.00 ",5/21/14,No,4,42.372697,-82.939896
3352 Breckenridge,12000570,DMC Consultants,"$10,775.00 ",8/28/14,No,6,42.343012,-83.097589
5045 Talbot,13006079,Homrich,"$11,200.00 ",1/16/15,No,3,42.407119,-83.05069
18053 Bradford,21035252-92,Adamo,"$13,801.04 ",8/11/14,No,3,42.428162,-83.00107
8296 Lauder,22041622,Adamo,"$14,208.67 ",9/13/14,No,7,42.354987,-83.189106
2110 Vinewood,14008792,Adamo,"$29,883.86 ",9/2/14,No,6,42.325145,-83.092102
9994 Stahelin,22082960-1,Homrich,"$16,397.31 ",8/9/14,No,7,42.368709,-83.224846
14926 Rossini Drive,21024815,Adamo,"$12,137.11 ",8/21/14,No,3,42.443303,-82.968306
8090 Penrod,22077584,Homrich,"$18,958.10 ",8/15/14,No,7,42.351909,-83.219553
1405 Burlingame,6003031,Homrich,"$15,580.00 ",5/7/14,No,5,42.387421,-83.099905
9204 Lane,20003385,Blue Star,"$14,300.00 ",9/5/14,No,6,42.303578,-83.135701
9034 Minock,22090624,Homrich,"$14,564.27 ",8/15/14,No,7,42.359915,-83.231961
1063 Waterman,18008233-4,DMC Consultants,"$7,859.40 ",9/2/14,No,6,42.30735,-83.11085
15821 Northlawn,16032303,ABC Demolition,"$8,700.00 ",6/16/14,No,2,42.408234,-83.153834
14553 Minock,22091259,ABC Demolition,"$5,300.00 ",5/22/14,No,1,42.39441,-83.233949
7792 Fielding,22102241,Homrich,"$12,977.81 ",8/8/14,No,7,42.349474,-83.240097
4535 Fischer,17005912,Adamo,"$22,309.59 ",9/18/14,No,5,42.376149,-83.00432
19939 Dresden,21034840,Adamo,"$14,429.21 ",8/9/14,No,3,42.442721,-83.000458
5745 Fischer,17005823,Adamo,"$13,104.46 ",9/9/14,No,5,42.384009,-83.009995
1026 Waterman,18008112,DMC Consultants,"$12,471.00 ",9/4/14,No,6,42.307138,-83.109793
14144 Auburn,22092467,Able Demolition,"$7,317.45 ",9/16/14,No,1,42.389395,-83.234212
5233 Crane,19010109,Adamo,"$11,557.56 ",9/6/14,No,5,42.38119,-83.006739
18747 Shaftsbury,22087401,"Direct Construction Services, LLC","$8,726.16 ",2/8/16,No,1,42.428777,-83.231263
20036 Hickory,21030338,Homrich,"$11,200.00 ",11/6/15,No,3,42.444528,-82.987608
19949 Roselawn,16030614,Adamo,"$8,668.00 ",8/5/15,No,2,42.439416,-83.153666
20434 Griggs,16041367,Adamo,"$10,973.00 ",8/6/15,No,2,42.443756,-83.164382
20525 Kentucky,16036770,Adamo,"$10,246.00 ",8/5/15,No,2,42.445044,-83.160704
20506 Greenlawn,16029672,Adamo,"$11,349.00 ",8/6/15,No,2,42.445017,-83.151998
20507 Indiana,16035829,Adamo,"$14,584.00 ",8/5/15,No,2,42.444858,-83.159589
19342 Lenore,22123448,Rickman Enterprise Group,"$10,580.00 ",10/9/15,No,1,42.432266,-83.280679
20030 Santa Rosa,16020316,Adamo,"$6,029.00 ",8/5/15,No,2,42.440711,-83.143687
20442 Roselawn,16030554,Brown Environmental Construction,"$8,700.00 ",9/23/14,No,2,42.444111,-83.15318
20465 Monica,16021510,Adamo,"$22,499.00 ",8/5/15,No,2,42.444581,-83.145387
9666 Balfour,21067771,Brown Environmental Construction,"$8,832.45 ",2/11/15,No,4,42.410429,-82.951528
8118 Logan,20003120,Homrich,"$17,800.00 ",2/4/16,No,6,42.306201,-83.126056
4720 Three Mile Dr,21071149,Adamo,"$21,807.00 ",9/8/15,No,4,42.400655,-82.938481
4893 Grayton,21074229,Timesavers Contracting,"$21,109.00 ",7/11/15,No,4,42.404615,-82.932012
14007 Dolphin,22115100,Esso Wrecking Co.,"$12,310.00 ",10/22/15,No,1,42.387465,-83.259225
6527 Westwood,22090313,Adamo,"$18,849.00 ",9/28/15,No,7,42.339136,-83.230666
17192 Harlow,22069835,Rickman Enterprise Group,"$8,610.00 ",11/6/15,No,2,42.417009,-83.215273
19211 Margareta,22015656,Rickman Enterprise Group,"$17,900.00 ",10/27/15,No,1,42.426339,-83.231238
13976 Plainview,22093850,Able Demolition,"$10,995.11 ",9/9/15,No,1,42.387458,-83.235338
15611 Thatcher,22014546-7,ABC Demolition,"$10,538.41 ",10/23/15,No,2,42.420866,-83.20123
